0.000000;N2;S-1;B00; Start()
0.020140;N2;S1;E04;    · Pre update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.020140;N2;S1;E05;    · Post update channel state [dBm]: -inf  -inf  -inf  -inf  
0.020140;N2;S1;E13;    · I am TXing. Do nothing.
0.020347;N2;S1;D00; inportSomeNodeStartTX(): source = 0 - destination = 3
0.020347;N2;S1;D02;  - N0 has started a TX to N3 in channels 1 - 1
0.020347;N2;S1;D04;    · Distance to transmitting node N0: 1050.000000 m
0.020347;N2;S1;D04;    · Power received from N0: = -85.475794 dBm (2.834135 pW)
0.020347;N2;S1;D03;    · Pre update channel state [dBm]: -inf  -inf  -inf  -inf  
0.020347;N2;S1;D06;    · Post update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.020347;N2;S1;D17;       + Max power interference is -105.475794 dBm (0.028341 pW) sensed in channel #0
0.020347;N2;S1;D08;    · I am NOT the TX destination (N3)
0.028493;N2;S1;E00; inportSomeNodeFinishTX(): source = 0 - destination = 3
0.028493;N2;S1;E02;  - N0 has finished a TX in channel range: 1 - 1
0.028493;N2;S1;E04;    · Pre update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.028493;N2;S1;E05;    · Post update channel state [dBm]: -inf  -inf  -inf  -inf  
0.028493;N2;S1;E13;    · I am TXing. Do nothing.
0.028511;N2;S1;D00; inportSomeNodeStartTX(): source = 0 - destination = 3
0.028511;N2;S1;D02;  - N0 has started a TX to N3 in channels 1 - 1
0.028511;N2;S1;D04;    · Distance to transmitting node N0: 1050.000000 m
0.028511;N2;S1;D04;    · Power received from N0: = -85.475794 dBm (2.834135 pW)
0.028511;N2;S1;D03;    · Pre update channel state [dBm]: -inf  -inf  -inf  -inf  
0.028511;N2;S1;D06;    · Post update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.028511;N2;S1;D17;       + Max power interference is -105.475794 dBm (0.028341 pW) sensed in channel #0
0.028511;N2;S1;D08;    · I am NOT the TX destination (N3)
0.031392;N2;S1;G00; myTXFinished()
0.031392;N2;S0;E00; inportSomeNodeFinishTX(): source = 2 - destination = 1
0.031392;N2;S0;E18;  - I have finished a TX in channel range: 0 - 0
0.031392;N2;S0;F00;  - Resuming backoff at 0.000184 s
0.031576;N2;S0;F00; endBackoff()
0.031576;N2;S1;F02;  - Channels for transmitting: 1  0  0  0  
0.031576;N2;S1;Z01;    · Computed TX duration: 0.013392 s
0.031576;N2;S1;F04;    · Transmission is possible in range: 0 - 0
0.031576;N2;S1;F04;    · Transmission of packet #1 started
0.031576;N2;S1;H00; inportNackReceived(): source = 1 - node_id_a = 2 - node_id_b = -1
0.031576;N2;S1;H00;  - NACK of packet #1 received from N1 sent to a) N2 and b) N-1 with reason 2
0.031576;N2;S1;H02;  - I am implied in the NACK with packet id #1
0.031576;N2;S1;H02;  - Interference sensed in destination 1 is greater than its CCA!
0.031576;N2;S1;D00; inportSomeNodeStartTX(): source = 2 - destination = 1
0.031576;N2;S1;D02;  - I have started a TX to N1 in channels 0 - 0
0.036194;N2;S1;E00; inportSomeNodeFinishTX(): source = 0 - destination = 3
0.036194;N2;S1;E02;  - N0 has finished a TX in channel range: 1 - 1
0.036194;N2;S1;E04;    · Pre update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.036194;N2;S1;E05;    · Post update channel state [dBm]: -inf  -inf  -inf  -inf  
0.036194;N2;S1;E13;    · I am TXing. Do nothing.
0.036261;N2;S1;D00; inportSomeNodeStartTX(): source = 0 - destination = 3
0.036261;N2;S1;D02;  - N0 has started a TX to N3 in channels 1 - 1
0.036261;N2;S1;D04;    · Distance to transmitting node N0: 1050.000000 m
0.036261;N2;S1;D04;    · Power received from N0: = -85.475794 dBm (2.834135 pW)
0.036261;N2;S1;D03;    · Pre update channel state [dBm]: -inf  -inf  -inf  -inf  
0.036261;N2;S1;D06;    · Post update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.036261;N2;S1;D17;       + Max power interference is -105.475794 dBm (0.028341 pW) sensed in channel #0
0.036261;N2;S1;D08;    · I am NOT the TX destination (N3)
0.044968;N2;S1;G00; myTXFinished()
0.044968;N2;S0;E00; inportSomeNodeFinishTX(): source = 2 - destination = 1
0.044968;N2;S0;E18;  - I have finished a TX in channel range: 0 - 0
0.044968;N2;S0;F00;  - Resuming backoff at 0.000007 s
0.044975;N2;S0;F00; endBackoff()
0.044975;N2;S1;F02;  - Channels for transmitting: 1  0  0  0  
0.044975;N2;S1;Z01;    · Computed TX duration: 0.009909 s
0.044975;N2;S1;F04;    · Transmission is possible in range: 0 - 0
0.044975;N2;S1;F04;    · Transmission of packet #2 started
0.044975;N2;S1;H00; inportNackReceived(): source = 1 - node_id_a = 2 - node_id_b = -1
0.044975;N2;S1;H00;  - NACK of packet #2 received from N1 sent to a) N2 and b) N-1 with reason 2
0.044975;N2;S1;H02;  - I am implied in the NACK with packet id #2
0.044975;N2;S1;H02;  - Interference sensed in destination 1 is greater than its CCA!
0.044975;N2;S1;D00; inportSomeNodeStartTX(): source = 2 - destination = 1
0.044975;N2;S1;D02;  - I have started a TX to N1 in channels 0 - 0
0.050819;N2;S1;E00; inportSomeNodeFinishTX(): source = 0 - destination = 3
0.050819;N2;S1;E02;  - N0 has finished a TX in channel range: 1 - 1
0.050819;N2;S1;E04;    · Pre update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.050819;N2;S1;E05;    · Post update channel state [dBm]: -inf  -inf  -inf  -inf  
0.050819;N2;S1;E13;    · I am TXing. Do nothing.
0.050997;N2;S1;D00; inportSomeNodeStartTX(): source = 0 - destination = 3
0.050997;N2;S1;D02;  - N0 has started a TX to N3 in channels 1 - 1
0.050997;N2;S1;D04;    · Distance to transmitting node N0: 1050.000000 m
0.050997;N2;S1;D04;    · Power received from N0: = -85.475794 dBm (2.834135 pW)
0.050997;N2;S1;D03;    · Pre update channel state [dBm]: -inf  -inf  -inf  -inf  
0.050997;N2;S1;D06;    · Post update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.050997;N2;S1;D17;       + Max power interference is -105.475794 dBm (0.028341 pW) sensed in channel #0
0.050997;N2;S1;D08;    · I am NOT the TX destination (N3)
0.054884;N2;S1;G00; myTXFinished()
0.054884;N2;S0;E00; inportSomeNodeFinishTX(): source = 2 - destination = 1
0.054884;N2;S0;E18;  - I have finished a TX in channel range: 0 - 0
0.054884;N2;S0;F00;  - Resuming backoff at 0.000069 s
0.054953;N2;S0;F00; endBackoff()
0.054953;N2;S1;F02;  - Channels for transmitting: 1  0  0  0  
0.054953;N2;S1;Z01;    · Computed TX duration: 0.007658 s
0.054953;N2;S1;F04;    · Transmission is possible in range: 0 - 0
0.054953;N2;S1;F04;    · Transmission of packet #3 started
0.054953;N2;S1;H00; inportNackReceived(): source = 1 - node_id_a = 2 - node_id_b = -1
0.054953;N2;S1;H00;  - NACK of packet #3 received from N1 sent to a) N2 and b) N-1 with reason 2
0.054953;N2;S1;H02;  - I am implied in the NACK with packet id #3
0.054953;N2;S1;H02;  - Interference sensed in destination 1 is greater than its CCA!
0.054953;N2;S1;D00; inportSomeNodeStartTX(): source = 2 - destination = 1
0.054953;N2;S1;D02;  - I have started a TX to N1 in channels 0 - 0
0.062611;N2;S1;G00; myTXFinished()
0.062611;N2;S0;E00; inportSomeNodeFinishTX(): source = 2 - destination = 1
0.062611;N2;S0;E18;  - I have finished a TX in channel range: 0 - 0
0.062611;N2;S0;F00;  - Resuming backoff at 0.000008 s
0.062620;N2;S0;F00; endBackoff()
0.062620;N2;S1;F02;  - Channels for transmitting: 1  0  0  0  
0.062620;N2;S1;Z01;    · Computed TX duration: 0.008481 s
0.062620;N2;S1;F04;    · Transmission is possible in range: 0 - 0
0.062620;N2;S1;F04;    · Transmission of packet #4 started
0.062620;N2;S1;H00; inportNackReceived(): source = 1 - node_id_a = 2 - node_id_b = -1
0.062620;N2;S1;H00;  - NACK of packet #4 received from N1 sent to a) N2 and b) N-1 with reason 2
0.062620;N2;S1;H02;  - I am implied in the NACK with packet id #4
0.062620;N2;S1;H02;  - Interference sensed in destination 1 is greater than its CCA!
0.062620;N2;S1;D00; inportSomeNodeStartTX(): source = 2 - destination = 1
0.062620;N2;S1;D02;  - I have started a TX to N1 in channels 0 - 0
0.071100;N2;S1;G00; myTXFinished()
0.071100;N2;S0;E00; inportSomeNodeFinishTX(): source = 2 - destination = 1
0.071100;N2;S0;E18;  - I have finished a TX in channel range: 0 - 0
0.071100;N2;S0;F00;  - Resuming backoff at 0.000016 s
0.071116;N2;S0;F00; endBackoff()
0.071116;N2;S1;F02;  - Channels for transmitting: 1  0  0  0  
0.071116;N2;S1;Z01;    · Computed TX duration: 0.030583 s
0.071116;N2;S1;F04;    · Transmission is possible in range: 0 - 0
0.071116;N2;S1;F04;    · Transmission of packet #5 started
0.071116;N2;S1;H00; inportNackReceived(): source = 1 - node_id_a = 2 - node_id_b = -1
0.071116;N2;S1;H00;  - NACK of packet #5 received from N1 sent to a) N2 and b) N-1 with reason 2
0.071116;N2;S1;H02;  - I am implied in the NACK with packet id #5
0.071116;N2;S1;H02;  - Interference sensed in destination 1 is greater than its CCA!
0.071116;N2;S1;D00; inportSomeNodeStartTX(): source = 2 - destination = 1
0.071116;N2;S1;D02;  - I have started a TX to N1 in channels 0 - 0
0.079228;N2;S1;E00; inportSomeNodeFinishTX(): source = 0 - destination = 3
0.079228;N2;S1;E02;  - N0 has finished a TX in channel range: 1 - 1
0.079228;N2;S1;E04;    · Pre update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.079228;N2;S1;E05;    · Post update channel state [dBm]: -inf  -inf  -inf  -inf  
0.079228;N2;S1;E13;    · I am TXing. Do nothing.
0.079267;N2;S1;D00; inportSomeNodeStartTX(): source = 0 - destination = 3
0.079267;N2;S1;D02;  - N0 has started a TX to N3 in channels 1 - 1
0.079267;N2;S1;D04;    · Distance to transmitting node N0: 1050.000000 m
0.079267;N2;S1;D04;    · Power received from N0: = -85.475794 dBm (2.834135 pW)
0.079267;N2;S1;D03;    · Pre update channel state [dBm]: -inf  -inf  -inf  -inf  
0.079267;N2;S1;D06;    · Post update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.079267;N2;S1;D17;       + Max power interference is -105.475794 dBm (0.028341 pW) sensed in channel #0
0.079267;N2;S1;D08;    · I am NOT the TX destination (N3)
0.091140;N2;S1;E00; inportSomeNodeFinishTX(): source = 0 - destination = 3
0.091140;N2;S1;E02;  - N0 has finished a TX in channel range: 1 - 1
0.091140;N2;S1;E04;    · Pre update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.091140;N2;S1;E05;    · Post update channel state [dBm]: -inf  -inf  -inf  -inf  
0.091140;N2;S1;E13;    · I am TXing. Do nothing.
0.091189;N2;S1;D00; inportSomeNodeStartTX(): source = 0 - destination = 3
0.091189;N2;S1;D02;  - N0 has started a TX to N3 in channels 1 - 1
0.091189;N2;S1;D04;    · Distance to transmitting node N0: 1050.000000 m
0.091189;N2;S1;D04;    · Power received from N0: = -85.475794 dBm (2.834135 pW)
0.091189;N2;S1;D03;    · Pre update channel state [dBm]: -inf  -inf  -inf  -inf  
0.091189;N2;S1;D06;    · Post update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.091189;N2;S1;D17;       + Max power interference is -105.475794 dBm (0.028341 pW) sensed in channel #0
0.091189;N2;S1;D08;    · I am NOT the TX destination (N3)
0.101699;N2;S1;G00; myTXFinished()
0.101699;N2;S0;E00; inportSomeNodeFinishTX(): source = 2 - destination = 1
0.101699;N2;S0;E18;  - I have finished a TX in channel range: 0 - 0
0.101699;N2;S0;F00;  - Resuming backoff at 0.000029 s
0.101728;N2;S0;F00; endBackoff()
0.101728;N2;S1;F02;  - Channels for transmitting: 1  0  0  0  
0.101728;N2;S1;Z01;    · Computed TX duration: 0.002962 s
0.101728;N2;S1;F04;    · Transmission is possible in range: 0 - 0
0.101728;N2;S1;F04;    · Transmission of packet #6 started
0.101728;N2;S1;H00; inportNackReceived(): source = 1 - node_id_a = 2 - node_id_b = -1
0.101728;N2;S1;H00;  - NACK of packet #6 received from N1 sent to a) N2 and b) N-1 with reason 2
0.101728;N2;S1;H02;  - I am implied in the NACK with packet id #6
0.101728;N2;S1;H02;  - Interference sensed in destination 1 is greater than its CCA!
0.101728;N2;S1;D00; inportSomeNodeStartTX(): source = 2 - destination = 1
0.101728;N2;S1;D02;  - I have started a TX to N1 in channels 0 - 0
0.104689;N2;S1;G00; myTXFinished()
0.104689;N2;S0;E00; inportSomeNodeFinishTX(): source = 2 - destination = 1
0.104689;N2;S0;E18;  - I have finished a TX in channel range: 0 - 0
0.104689;N2;S0;F00;  - Resuming backoff at 0.000144 s
0.104834;N2;S0;F00; endBackoff()
0.104834;N2;S1;F02;  - Channels for transmitting: 1  0  0  0  
0.104834;N2;S1;Z01;    · Computed TX duration: 0.006735 s
0.104834;N2;S1;F04;    · Transmission is possible in range: 0 - 0
0.104834;N2;S1;F04;    · Transmission of packet #7 started
0.104834;N2;S1;H00; inportNackReceived(): source = 1 - node_id_a = 2 - node_id_b = -1
0.104834;N2;S1;H00;  - NACK of packet #7 received from N1 sent to a) N2 and b) N-1 with reason 2
0.104834;N2;S1;H02;  - I am implied in the NACK with packet id #7
0.104834;N2;S1;H02;  - Interference sensed in destination 1 is greater than its CCA!
0.104834;N2;S1;D00; inportSomeNodeStartTX(): source = 2 - destination = 1
0.104834;N2;S1;D02;  - I have started a TX to N1 in channels 0 - 0
0.111569;N2;S1;G00; myTXFinished()
0.111569;N2;S0;E00; inportSomeNodeFinishTX(): source = 2 - destination = 1
0.111569;N2;S0;E18;  - I have finished a TX in channel range: 0 - 0
0.111569;N2;S0;F00;  - Resuming backoff at 0.000553 s
0.112122;N2;S0;F00; endBackoff()
0.112122;N2;S1;F02;  - Channels for transmitting: 1  0  0  0  
0.112122;N2;S1;Z01;    · Computed TX duration: 0.003252 s
0.112122;N2;S1;F04;    · Transmission is possible in range: 0 - 0
0.112122;N2;S1;F04;    · Transmission of packet #8 started
0.112122;N2;S1;H00; inportNackReceived(): source = 1 - node_id_a = 2 - node_id_b = -1
0.112122;N2;S1;H00;  - NACK of packet #8 received from N1 sent to a) N2 and b) N-1 with reason 2
0.112122;N2;S1;H02;  - I am implied in the NACK with packet id #8
0.112122;N2;S1;H02;  - Interference sensed in destination 1 is greater than its CCA!
0.112122;N2;S1;D00; inportSomeNodeStartTX(): source = 2 - destination = 1
0.112122;N2;S1;D02;  - I have started a TX to N1 in channels 0 - 0
0.115374;N2;S1;G00; myTXFinished()
0.115374;N2;S0;E00; inportSomeNodeFinishTX(): source = 2 - destination = 1
0.115374;N2;S0;E18;  - I have finished a TX in channel range: 0 - 0
0.115374;N2;S0;F00;  - Resuming backoff at 0.000115 s
0.115489;N2;S0;F00; endBackoff()
0.115489;N2;S1;F02;  - Channels for transmitting: 1  0  0  0  
0.115489;N2;S1;Z01;    · Computed TX duration: 0.000639 s
0.115489;N2;S1;F04;    · Transmission is possible in range: 0 - 0
0.115489;N2;S1;F04;    · Transmission of packet #9 started
0.115489;N2;S1;H00; inportNackReceived(): source = 1 - node_id_a = 2 - node_id_b = -1
0.115489;N2;S1;H00;  - NACK of packet #9 received from N1 sent to a) N2 and b) N-1 with reason 2
0.115489;N2;S1;H02;  - I am implied in the NACK with packet id #9
0.115489;N2;S1;H02;  - Interference sensed in destination 1 is greater than its CCA!
0.115489;N2;S1;D00; inportSomeNodeStartTX(): source = 2 - destination = 1
0.115489;N2;S1;D02;  - I have started a TX to N1 in channels 0 - 0
0.116128;N2;S1;G00; myTXFinished()
0.116128;N2;S0;E00; inportSomeNodeFinishTX(): source = 2 - destination = 1
0.116128;N2;S0;E18;  - I have finished a TX in channel range: 0 - 0
0.116128;N2;S0;F00;  - Resuming backoff at 0.000021 s
0.116148;N2;S0;F00; endBackoff()
0.116148;N2;S1;F02;  - Channels for transmitting: 1  0  0  0  
0.116148;N2;S1;Z01;    · Computed TX duration: 0.020610 s
0.116148;N2;S1;F04;    · Transmission is possible in range: 0 - 0
0.116148;N2;S1;F04;    · Transmission of packet #10 started
0.116148;N2;S1;H00; inportNackReceived(): source = 1 - node_id_a = 2 - node_id_b = -1
0.116148;N2;S1;H00;  - NACK of packet #10 received from N1 sent to a) N2 and b) N-1 with reason 2
0.116148;N2;S1;H02;  - I am implied in the NACK with packet id #10
0.116148;N2;S1;H02;  - Interference sensed in destination 1 is greater than its CCA!
0.116148;N2;S1;D00; inportSomeNodeStartTX(): source = 2 - destination = 1
0.116148;N2;S1;D02;  - I have started a TX to N1 in channels 0 - 0
0.136758;N2;S1;G00; myTXFinished()
0.136758;N2;S0;E00; inportSomeNodeFinishTX(): source = 2 - destination = 1
0.136758;N2;S0;E18;  - I have finished a TX in channel range: 0 - 0
0.136758;N2;S0;F00;  - Resuming backoff at 0.000075 s
0.136833;N2;S0;F00; endBackoff()
0.136833;N2;S1;F02;  - Channels for transmitting: 1  0  0  0  
0.136833;N2;S1;Z01;    · Computed TX duration: 0.011330 s
0.136833;N2;S1;F04;    · Transmission is possible in range: 0 - 0
0.136833;N2;S1;F04;    · Transmission of packet #11 started
0.136833;N2;S1;H00; inportNackReceived(): source = 1 - node_id_a = 2 - node_id_b = -1
0.136833;N2;S1;H00;  - NACK of packet #11 received from N1 sent to a) N2 and b) N-1 with reason 2
0.136833;N2;S1;H02;  - I am implied in the NACK with packet id #11
0.136833;N2;S1;H02;  - Interference sensed in destination 1 is greater than its CCA!
0.136833;N2;S1;D00; inportSomeNodeStartTX(): source = 2 - destination = 1
0.136833;N2;S1;D02;  - I have started a TX to N1 in channels 0 - 0
0.146628;N2;S1;E00; inportSomeNodeFinishTX(): source = 0 - destination = 3
0.146628;N2;S1;E02;  - N0 has finished a TX in channel range: 1 - 1
0.146628;N2;S1;E04;    · Pre update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.146628;N2;S1;E05;    · Post update channel state [dBm]: -inf  -inf  -inf  -inf  
0.146628;N2;S1;E13;    · I am TXing. Do nothing.
0.146720;N2;S1;D00; inportSomeNodeStartTX(): source = 0 - destination = 3
0.146720;N2;S1;D02;  - N0 has started a TX to N3 in channels 1 - 1
0.146720;N2;S1;D04;    · Distance to transmitting node N0: 1050.000000 m
0.146720;N2;S1;D04;    · Power received from N0: = -85.475794 dBm (2.834135 pW)
0.146720;N2;S1;D03;    · Pre update channel state [dBm]: -inf  -inf  -inf  -inf  
0.146720;N2;S1;D06;    · Post update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.146720;N2;S1;D17;       + Max power interference is -105.475794 dBm (0.028341 pW) sensed in channel #0
0.146720;N2;S1;D08;    · I am NOT the TX destination (N3)
0.148163;N2;S1;G00; myTXFinished()
0.148163;N2;S0;E00; inportSomeNodeFinishTX(): source = 2 - destination = 1
0.148163;N2;S0;E18;  - I have finished a TX in channel range: 0 - 0
0.148163;N2;S0;F00;  - Resuming backoff at 0.000092 s
0.148255;N2;S0;F00; endBackoff()
0.148255;N2;S1;F02;  - Channels for transmitting: 1  0  0  0  
0.148255;N2;S1;Z01;    · Computed TX duration: 0.002536 s
0.148255;N2;S1;F04;    · Transmission is possible in range: 0 - 0
0.148255;N2;S1;F04;    · Transmission of packet #12 started
0.148255;N2;S1;H00; inportNackReceived(): source = 1 - node_id_a = 2 - node_id_b = -1
0.148255;N2;S1;H00;  - NACK of packet #12 received from N1 sent to a) N2 and b) N-1 with reason 2
0.148255;N2;S1;H02;  - I am implied in the NACK with packet id #12
0.148255;N2;S1;H02;  - Interference sensed in destination 1 is greater than its CCA!
0.148255;N2;S1;D00; inportSomeNodeStartTX(): source = 2 - destination = 1
0.148255;N2;S1;D02;  - I have started a TX to N1 in channels 0 - 0
0.150791;N2;S1;G00; myTXFinished()
0.150791;N2;S0;E00; inportSomeNodeFinishTX(): source = 2 - destination = 1
0.150791;N2;S0;E18;  - I have finished a TX in channel range: 0 - 0
0.150791;N2;S0;F00;  - Resuming backoff at 0.000002 s
0.150793;N2;S0;F00; endBackoff()
0.150793;N2;S1;F02;  - Channels for transmitting: 1  0  0  0  
0.150793;N2;S1;Z01;    · Computed TX duration: 0.004994 s
0.150793;N2;S1;F04;    · Transmission is possible in range: 0 - 0
0.150793;N2;S1;F04;    · Transmission of packet #13 started
0.150793;N2;S1;H00; inportNackReceived(): source = 1 - node_id_a = 2 - node_id_b = -1
0.150793;N2;S1;H00;  - NACK of packet #13 received from N1 sent to a) N2 and b) N-1 with reason 2
0.150793;N2;S1;H02;  - I am implied in the NACK with packet id #13
0.150793;N2;S1;H02;  - Interference sensed in destination 1 is greater than its CCA!
0.150793;N2;S1;D00; inportSomeNodeStartTX(): source = 2 - destination = 1
0.150793;N2;S1;D02;  - I have started a TX to N1 in channels 0 - 0
0.155787;N2;S1;G00; myTXFinished()
0.155787;N2;S0;E00; inportSomeNodeFinishTX(): source = 2 - destination = 1
0.155787;N2;S0;E18;  - I have finished a TX in channel range: 0 - 0
0.155787;N2;S0;F00;  - Resuming backoff at 0.000005 s
0.155791;N2;S0;F00; endBackoff()
0.155791;N2;S1;F02;  - Channels for transmitting: 1  0  0  0  
0.155791;N2;S1;Z01;    · Computed TX duration: 0.008760 s
0.155791;N2;S1;F04;    · Transmission is possible in range: 0 - 0
0.155791;N2;S1;F04;    · Transmission of packet #14 started
0.155791;N2;S1;H00; inportNackReceived(): source = 1 - node_id_a = 2 - node_id_b = -1
0.155791;N2;S1;H00;  - NACK of packet #14 received from N1 sent to a) N2 and b) N-1 with reason 2
0.155791;N2;S1;H02;  - I am implied in the NACK with packet id #14
0.155791;N2;S1;H02;  - Interference sensed in destination 1 is greater than its CCA!
0.155791;N2;S1;D00; inportSomeNodeStartTX(): source = 2 - destination = 1
0.155791;N2;S1;D02;  - I have started a TX to N1 in channels 0 - 0
0.160366;N2;S1;E00; inportSomeNodeFinishTX(): source = 0 - destination = 3
0.160366;N2;S1;E02;  - N0 has finished a TX in channel range: 1 - 1
0.160366;N2;S1;E04;    · Pre update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.160366;N2;S1;E05;    · Post update channel state [dBm]: -inf  -inf  -inf  -inf  
0.160366;N2;S1;E13;    · I am TXing. Do nothing.
0.160377;N2;S1;D00; inportSomeNodeStartTX(): source = 0 - destination = 3
0.160377;N2;S1;D02;  - N0 has started a TX to N3 in channels 1 - 1
0.160377;N2;S1;D04;    · Distance to transmitting node N0: 1050.000000 m
0.160377;N2;S1;D04;    · Power received from N0: = -85.475794 dBm (2.834135 pW)
0.160377;N2;S1;D03;    · Pre update channel state [dBm]: -inf  -inf  -inf  -inf  
0.160377;N2;S1;D06;    · Post update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.160377;N2;S1;D17;       + Max power interference is -105.475794 dBm (0.028341 pW) sensed in channel #0
0.160377;N2;S1;D08;    · I am NOT the TX destination (N3)
0.164551;N2;S1;G00; myTXFinished()
0.164551;N2;S0;E00; inportSomeNodeFinishTX(): source = 2 - destination = 1
0.164551;N2;S0;E18;  - I have finished a TX in channel range: 0 - 0
0.164551;N2;S0;F00;  - Resuming backoff at 0.000015 s
