0.000000000000000000;A0;B00; Start()
6.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
6.000000000000000;A0;C03;    · dcb_policy = 4
6.000000000000000;A0;C03;  - Performance:
6.000000000000000;A0;C03;    · Average throughput = 80.64 Mbps
6.000000000000000;A0;F00; ComputeNewConfiguration()
6.000000000000000;A0;F00; SendNewConfigurationToAp()
6.000000000000000;A0;C00;  - Next request to be sent at 7.000000
7.000000000000000;A0;F00; RequestInformationToAp() (request #6)
7.000000000000000;A0;F00; InportReceivingInformationFromAp()
7.000000000000000;A0;C03;  - Action (1):
7.000000000000000;A0;C03;    · channel = 1
7.000000000000000;A0;C03;    · cca = -82.000000 dBm
7.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
7.000000000000000;A0;C03;    · dcb_policy = 4
7.000000000000000;A0;C03;  - Performance:
7.000000000000000;A0;C03;    · Average throughput = 110.66 Mbps
7.000000000000000;A0;F00; ComputeNewConfiguration()
7.000000000000000;A0;F00; SendNewConfigurationToAp()
7.000000000000000;A0;C00;  - Next request to be sent at 8.000000
8.000000000000000;A0;F00; RequestInformationToAp() (request #7)
8.000000000000000;A0;F00; InportReceivingInformationFromAp()
8.000000000000000;A0;C03;  - Action (4):
8.000000000000000;A0;C03;    · channel = 4
8.000000000000000;A0;C03;    · cca = -82.000000 dBm
8.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
8.000000000000000;A0;C03;    · dcb_policy = 4
8.000000000000000;A0;C03;  - Performance:
8.000000000000000;A0;C03;    · Average throughput = 110.66 Mbps
8.000000000000000;A0;F00; ComputeNewConfiguration()
8.000000000000000;A0;F00; SendNewConfigurationToAp()
8.000000000000000;A0;C00;  - Next request to be sent at 9.000000
9.000000000000000;A0;F00; RequestInformationToAp() (request #8)
9.000000000000000;A0;F00; InportReceivingInformationFromAp()
9.000000000000000;A0;C03;  - Action (4):
9.000000000000000;A0;C03;    · channel = 4
9.000000000000000;A0;C03;    · cca = -82.000000 dBm
9.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
9.000000000000000;A0;C03;    · dcb_policy = 4
9.000000000000000;A0;C03;  - Performance:
9.000000000000000;A0;C03;    · Average throughput = 110.03 Mbps
9.000000000000000;A0;F00; ComputeNewConfiguration()
9.000000000000000;A0;F00; SendNewConfigurationToAp()
9.000000000000000;A0;C00;  - Next request to be sent at 10.000000
10.000000000000000;A0;F00; RequestInformationToAp() (request #9)
10.000000000000000;A0;F00; InportReceivingInformationFromAp()
10.000000000000000;A0;C03;  - Action (1):
10.000000000000000;A0;C03;    · channel = 1
10.000000000000000;A0;C03;    · cca = -82.000000 dBm
10.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
10.000000000000000;A0;C03;    · dcb_policy = 4
10.000000000000000;A0;C03;  - Performance:
10.000000000000000;A0;C03;    · Average throughput = 110.66 Mbps
10.000000000000000;A0;F00; ComputeNewConfiguration()
10.000000000000000;A0;F00; SendNewConfigurationToAp()
10.000000000000000;A0;C00;  - Next request to be sent at 11.000000
11.000000000000000;A0;F00; RequestInformationToAp() (request #10)
11.000000000000000;A0;F00; InportReceivingInformationFromAp()
11.000000000000000;A0;C03;  - Action (1):
11.000000000000000;A0;C03;    · channel = 1
11.000000000000000;A0;C03;    · cca = -82.000000 dBm
11.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
11.000000000000000;A0;C03;    · dcb_policy = 4
11.000000000000000;A0;C03;  - Performance:
11.000000000000000;A0;C03;    · Average throughput = 110.03 Mbps
11.000000000000000;A0;F00; ComputeNewConfiguration()
11.000000000000000;A0;F00; SendNewConfigurationToAp()
11.000000000000000;A0;C00;  - Next request to be sent at 12.000000
12.000000000000000;A0;F00; RequestInformationToAp() (request #11)
12.000000000000000;A0;F00; InportReceivingInformationFromAp()
12.000000000000000;A0;C03;  - Action (4):
12.000000000000000;A0;C03;    · channel = 4
12.000000000000000;A0;C03;    · cca = -82.000000 dBm
12.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
12.000000000000000;A0;C03;    · dcb_policy = 4
12.000000000000000;A0;C03;  - Performance:
12.000000000000000;A0;C03;    · Average throughput = 110.66 Mbps
12.000000000000000;A0;F00; ComputeNewConfiguration()
12.000000000000000;A0;F00; SendNewConfigurationToAp()
12.000000000000000;A0;C00;  - Next request to be sent at 13.000000
13.000000000000000;A0;F00; RequestInformationToAp() (request #12)
13.000000000000000;A0;F00; InportReceivingInformationFromAp()
13.000000000000000;A0;C03;  - Action (4):
13.000000000000000;A0;C03;    · channel = 4
13.000000000000000;A0;C03;    · cca = -82.000000 dBm
13.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
13.000000000000000;A0;C03;    · dcb_policy = 4
13.000000000000000;A0;C03;  - Performance:
13.000000000000000;A0;C03;    · Average throughput = 110.03 Mbps
13.000000000000000;A0;F00; ComputeNewConfiguration()
13.000000000000000;A0;F00; SendNewConfigurationToAp()
13.000000000000000;A0;C00;  - Next request to be sent at 14.000000
14.000000000000000;A0;F00; RequestInformationToAp() (request #13)
14.000000000000000;A0;F00; InportReceivingInformationFromAp()
14.000000000000000;A0;C03;  - Action (1):
14.000000000000000;A0;C03;    · channel = 1
14.000000000000000;A0;C03;    · cca = -82.000000 dBm
14.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
14.000000000000000;A0;C03;    · dcb_policy = 4
14.000000000000000;A0;C03;  - Performance:
14.000000000000000;A0;C03;    · Average throughput = 110.66 Mbps
14.000000000000000;A0;F00; ComputeNewConfiguration()
14.000000000000000;A0;F00; SendNewConfigurationToAp()
14.000000000000000;A0;C00;  - Next request to be sent at 15.000000
15.000000000000000;A0;F00; RequestInformationToAp() (request #14)
15.000000000000000;A0;F00; InportReceivingInformationFromAp()
15.000000000000000;A0;C03;  - Action (1):
15.000000000000000;A0;C03;    · channel = 1
15.000000000000000;A0;C03;    · cca = -82.000000 dBm
15.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
15.000000000000000;A0;C03;    · dcb_policy = 4
15.000000000000000;A0;C03;  - Performance:
15.000000000000000;A0;C03;    · Average throughput = 110.03 Mbps
15.000000000000000;A0;F00; ComputeNewConfiguration()
15.000000000000000;A0;F00; SendNewConfigurationToAp()
15.000000000000000;A0;C00;  - Next request to be sent at 16.000000
16.000000000000000;A0;F00; RequestInformationToAp() (request #15)
16.000000000000000;A0;F00; InportReceivingInformationFromAp()
16.000000000000000;A0;C03;  - Action (4):
16.000000000000000;A0;C03;    · channel = 4
16.000000000000000;A0;C03;    · cca = -82.000000 dBm
16.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
16.000000000000000;A0;C03;    · dcb_policy = 4
16.000000000000000;A0;C03;  - Performance:
16.000000000000000;A0;C03;    · Average throughput = 110.66 Mbps
16.000000000000000;A0;F00; ComputeNewConfiguration()
16.000000000000000;A0;F00; SendNewConfigurationToAp()
16.000000000000000;A0;C00;  - Next request to be sent at 17.000000
17.000000000000000;A0;F00; RequestInformationToAp() (request #16)
17.000000000000000;A0;F00; InportReceivingInformationFromAp()
17.000000000000000;A0;C03;  - Action (5):
17.000000000000000;A0;C03;    · channel = 5
17.000000000000000;A0;C03;    · cca = -82.000000 dBm
17.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
17.000000000000000;A0;C03;    · dcb_policy = 4
17.000000000000000;A0;C03;  - Performance:
17.000000000000000;A0;C03;    · Average throughput = 215.04 Mbps
17.000000000000000;A0;F00; ComputeNewConfiguration()
17.000000000000000;A0;F00; SendNewConfigurationToAp()
17.000000000000000;A0;C00;  - Next request to be sent at 18.000000
18.000000000000000;A0;F00; RequestInformationToAp() (request #17)
18.000000000000000;A0;F00; InportReceivingInformationFromAp()
18.000000000000000;A0;C03;  - Action (5):
18.000000000000000;A0;C03;    · channel = 5
18.000000000000000;A0;C03;    · cca = -82.000000 dBm
18.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
18.000000000000000;A0;C03;    · dcb_policy = 4
18.000000000000000;A0;C03;  - Performance:
18.000000000000000;A0;C03;    · Average throughput = 216.58 Mbps
18.000000000000000;A0;F00; ComputeNewConfiguration()
18.000000000000000;A0;F00; SendNewConfigurationToAp()
18.000000000000000;A0;C00;  - Next request to be sent at 19.000000
19.000000000000000;A0;F00; RequestInformationToAp() (request #18)
19.000000000000000;A0;F00; InportReceivingInformationFromAp()
19.000000000000000;A0;C03;  - Action (5):
19.000000000000000;A0;C03;    · channel = 5
19.000000000000000;A0;C03;    · cca = -82.000000 dBm
19.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
19.000000000000000;A0;C03;    · dcb_policy = 4
19.000000000000000;A0;C03;  - Performance:
19.000000000000000;A0;C03;    · Average throughput = 213.50 Mbps
19.000000000000000;A0;F00; ComputeNewConfiguration()
19.000000000000000;A0;F00; SendNewConfigurationToAp()
19.000000000000000;A0;C00;  - Next request to be sent at 20.000000
20.000000000000000;A0;F00; RequestInformationToAp() (request #19)
20.000000000000000;A0;F00; InportReceivingInformationFromAp()
20.000000000000000;A0;C03;  - Action (5):
20.000000000000000;A0;C03;    · channel = 5
20.000000000000000;A0;C03;    · cca = -82.000000 dBm
20.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
20.000000000000000;A0;C03;    · dcb_policy = 4
20.000000000000000;A0;C03;  - Performance:
20.000000000000000;A0;C03;    · Average throughput = 216.58 Mbps
20.000000000000000;A0;F00; ComputeNewConfiguration()
20.000000000000000;A0;F00; SendNewConfigurationToAp()
20.000000000000000;A0;C00;  - Next request to be sent at 21.000000
21.000000000000000;A0;F00; RequestInformationToAp() (request #20)
21.000000000000000;A0;F00; InportReceivingInformationFromAp()
21.000000000000000;A0;C03;  - Action (5):
21.000000000000000;A0;C03;    · channel = 5
21.000000000000000;A0;C03;    · cca = -82.000000 dBm
21.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
21.000000000000000;A0;C03;    · dcb_policy = 4
21.000000000000000;A0;C03;  - Performance:
21.000000000000000;A0;C03;    · Average throughput = 215.81 Mbps
21.000000000000000;A0;F00; ComputeNewConfiguration()
21.000000000000000;A0;F00; SendNewConfigurationToAp()
21.000000000000000;A0;C00;  - Next request to be sent at 22.000000
22.000000000000000;A0;F00; RequestInformationToAp() (request #21)
22.000000000000000;A0;F00; InportReceivingInformationFromAp()
22.000000000000000;A0;C03;  - Action (5):
22.000000000000000;A0;C03;    · channel = 5
22.000000000000000;A0;C03;    · cca = -82.000000 dBm
22.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
22.000000000000000;A0;C03;    · dcb_policy = 4
22.000000000000000;A0;C03;  - Performance:
22.000000000000000;A0;C03;    · Average throughput = 213.50 Mbps
22.000000000000000;A0;F00; ComputeNewConfiguration()
22.000000000000000;A0;F00; SendNewConfigurationToAp()
22.000000000000000;A0;C00;  - Next request to be sent at 23.000000
23.000000000000000;A0;F00; RequestInformationToAp() (request #22)
23.000000000000000;A0;F00; InportReceivingInformationFromAp()
23.000000000000000;A0;C03;  - Action (6):
23.000000000000000;A0;C03;    · channel = 6
23.000000000000000;A0;C03;    · cca = -82.000000 dBm
23.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
23.000000000000000;A0;C03;    · dcb_policy = 4
23.000000000000000;A0;C03;  - Performance:
23.000000000000000;A0;C03;    · Average throughput = 115.97 Mbps
23.000000000000000;A0;F00; ComputeNewConfiguration()
23.000000000000000;A0;F00; SendNewConfigurationToAp()
23.000000000000000;A0;C00;  - Next request to be sent at 24.000000
24.000000000000000;A0;F00; RequestInformationToAp() (request #23)
24.000000000000000;A0;F00; InportReceivingInformationFromAp()
24.000000000000000;A0;C03;  - Action (5):
24.000000000000000;A0;C03;    · channel = 5
24.000000000000000;A0;C03;    · cca = -82.000000 dBm
24.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
24.000000000000000;A0;C03;    · dcb_policy = 4
24.000000000000000;A0;C03;  - Performance:
24.000000000000000;A0;C03;    · Average throughput = 213.50 Mbps
24.000000000000000;A0;F00; ComputeNewConfiguration()
24.000000000000000;A0;F00; SendNewConfigurationToAp()
24.000000000000000;A0;C00;  - Next request to be sent at 25.000000
25.000000000000000;A0;F00; RequestInformationToAp() (request #24)
25.000000000000000;A0;F00; InportReceivingInformationFromAp()
25.000000000000000;A0;C03;  - Action (5):
25.000000000000000;A0;C03;    · channel = 5
25.000000000000000;A0;C03;    · cca = -82.000000 dBm
25.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
25.000000000000000;A0;C03;    · dcb_policy = 4
25.000000000000000;A0;C03;  - Performance:
25.000000000000000;A0;C03;    · Average throughput = 215.81 Mbps
25.000000000000000;A0;F00; ComputeNewConfiguration()
25.000000000000000;A0;F00; SendNewConfigurationToAp()
25.000000000000000;A0;C00;  - Next request to be sent at 26.000000
26.000000000000000;A0;F00; RequestInformationToAp() (request #25)
26.000000000000000;A0;F00; InportReceivingInformationFromAp()
26.000000000000000;A0;C03;  - Action (5):
26.000000000000000;A0;C03;    · channel = 5
26.000000000000000;A0;C03;    · cca = -82.000000 dBm
26.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
26.000000000000000;A0;C03;    · dcb_policy = 4
26.000000000000000;A0;C03;  - Performance:
26.000000000000000;A0;C03;    · Average throughput = 215.81 Mbps
26.000000000000000;A0;F00; ComputeNewConfiguration()
26.000000000000000;A0;F00; SendNewConfigurationToAp()
26.000000000000000;A0;C00;  - Next request to be sent at 27.000000
27.000000000000000;A0;F00; RequestInformationToAp() (request #26)
27.000000000000000;A0;F00; InportReceivingInformationFromAp()
27.000000000000000;A0;C03;  - Action (5):
27.000000000000000;A0;C03;    · channel = 5
27.000000000000000;A0;C03;    · cca = -82.000000 dBm
27.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
27.000000000000000;A0;C03;    · dcb_policy = 4
27.000000000000000;A0;C03;  - Performance:
27.000000000000000;A0;C03;    · Average throughput = 217.34 Mbps
27.000000000000000;A0;F00; ComputeNewConfiguration()
27.000000000000000;A0;F00; SendNewConfigurationToAp()
27.000000000000000;A0;C00;  - Next request to be sent at 28.000000
28.000000000000000;A0;F00; RequestInformationToAp() (request #27)
28.000000000000000;A0;F00; InportReceivingInformationFromAp()
28.000000000000000;A0;C03;  - Action (5):
28.000000000000000;A0;C03;    · channel = 5
28.000000000000000;A0;C03;    · cca = -82.000000 dBm
28.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
28.000000000000000;A0;C03;    · dcb_policy = 4
28.000000000000000;A0;C03;  - Performance:
28.000000000000000;A0;C03;    · Average throughput = 211.97 Mbps
28.000000000000000;A0;F00; ComputeNewConfiguration()
28.000000000000000;A0;F00; SendNewConfigurationToAp()
28.000000000000000;A0;C00;  - Next request to be sent at 29.000000
29.000000000000000;A0;F00; RequestInformationToAp() (request #28)
29.000000000000000;A0;F00; InportReceivingInformationFromAp()
29.000000000000000;A0;C03;  - Action (5):
29.000000000000000;A0;C03;    · channel = 5
29.000000000000000;A0;C03;    · cca = -82.000000 dBm
29.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
29.000000000000000;A0;C03;    · dcb_policy = 4
29.000000000000000;A0;C03;  - Performance:
29.000000000000000;A0;C03;    · Average throughput = 212.74 Mbps
29.000000000000000;A0;F00; ComputeNewConfiguration()
29.000000000000000;A0;F00; SendNewConfigurationToAp()
29.000000000000000;A0;C00;  - Next request to be sent at 30.000000
30.000000000000000;A0;F00; RequestInformationToAp() (request #29)
30.000000000000000;A0;F00; InportReceivingInformationFromAp()
30.000000000000000;A0;C03;  - Action (6):
30.000000000000000;A0;C03;    · channel = 6
30.000000000000000;A0;C03;    · cca = -82.000000 dBm
30.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
30.000000000000000;A0;C03;    · dcb_policy = 4
30.000000000000000;A0;C03;  - Performance:
30.000000000000000;A0;C03;    · Average throughput = 108.29 Mbps
30.000000000000000;A0;F00; ComputeNewConfiguration()
30.000000000000000;A0;F00; SendNewConfigurationToAp()
30.000000000000000;A0;C00;  - Next request to be sent at 31.000000
31.000000000000000;A0;F00; RequestInformationToAp() (request #30)
31.000000000000000;A0;F00; InportReceivingInformationFromAp()
31.000000000000000;A0;C03;  - Action (5):
31.000000000000000;A0;C03;    · channel = 5
31.000000000000000;A0;C03;    · cca = -82.000000 dBm
31.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
31.000000000000000;A0;C03;    · dcb_policy = 4
31.000000000000000;A0;C03;  - Performance:
31.000000000000000;A0;C03;    · Average throughput = 214.27 Mbps
31.000000000000000;A0;F00; ComputeNewConfiguration()
31.000000000000000;A0;F00; SendNewConfigurationToAp()
31.000000000000000;A0;C00;  - Next request to be sent at 32.000000
32.000000000000000;A0;F00; RequestInformationToAp() (request #31)
32.000000000000000;A0;F00; InportReceivingInformationFromAp()
32.000000000000000;A0;C03;  - Action (5):
32.000000000000000;A0;C03;    · channel = 5
32.000000000000000;A0;C03;    · cca = -82.000000 dBm
32.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
32.000000000000000;A0;C03;    · dcb_policy = 4
32.000000000000000;A0;C03;  - Performance:
32.000000000000000;A0;C03;    · Average throughput = 214.27 Mbps
32.000000000000000;A0;F00; ComputeNewConfiguration()
32.000000000000000;A0;F00; SendNewConfigurationToAp()
32.000000000000000;A0;C00;  - Next request to be sent at 33.000000
33.000000000000000;A0;F00; RequestInformationToAp() (request #32)
33.000000000000000;A0;F00; InportReceivingInformationFromAp()
33.000000000000000;A0;C03;  - Action (5):
33.000000000000000;A0;C03;    · channel = 5
33.000000000000000;A0;C03;    · cca = -82.000000 dBm
33.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
33.000000000000000;A0;C03;    · dcb_policy = 4
33.000000000000000;A0;C03;  - Performance:
33.000000000000000;A0;C03;    · Average throughput = 217.34 Mbps
33.000000000000000;A0;F00; ComputeNewConfiguration()
33.000000000000000;A0;F00; SendNewConfigurationToAp()
33.000000000000000;A0;C00;  - Next request to be sent at 34.000000
34.000000000000000;A0;F00; RequestInformationToAp() (request #33)
34.000000000000000;A0;F00; InportReceivingInformationFromAp()
34.000000000000000;A0;C03;  - Action (2):
34.000000000000000;A0;C03;    · channel = 2
34.000000000000000;A0;C03;    · cca = -82.000000 dBm
34.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
34.000000000000000;A0;C03;    · dcb_policy = 4
34.000000000000000;A0;C03;  - Performance:
34.000000000000000;A0;C03;    · Average throughput = 38.40 Mbps
34.000000000000000;A0;F00; ComputeNewConfiguration()
34.000000000000000;A0;F00; SendNewConfigurationToAp()
34.000000000000000;A0;C00;  - Next request to be sent at 35.000000
35.000000000000000;A0;F00; RequestInformationToAp() (request #34)
35.000000000000000;A0;F00; InportReceivingInformationFromAp()
35.000000000000000;A0;C03;  - Action (5):
35.000000000000000;A0;C03;    · channel = 5
35.000000000000000;A0;C03;    · cca = -82.000000 dBm
35.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
35.000000000000000;A0;C03;    · dcb_policy = 4
35.000000000000000;A0;C03;  - Performance:
35.000000000000000;A0;C03;    · Average throughput = 214.27 Mbps
35.000000000000000;A0;F00; ComputeNewConfiguration()
35.000000000000000;A0;F00; SendNewConfigurationToAp()
35.000000000000000;A0;C00;  - Next request to be sent at 36.000000
36.000000000000000;A0;F00; RequestInformationToAp() (request #35)
36.000000000000000;A0;F00; InportReceivingInformationFromAp()
36.000000000000000;A0;C03;  - Action (5):
36.000000000000000;A0;C03;    · channel = 5
36.000000000000000;A0;C03;    · cca = -82.000000 dBm
36.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
36.000000000000000;A0;C03;    · dcb_policy = 4
36.000000000000000;A0;C03;  - Performance:
36.000000000000000;A0;C03;    · Average throughput = 213.50 Mbps
36.000000000000000;A0;F00; ComputeNewConfiguration()
36.000000000000000;A0;F00; SendNewConfigurationToAp()
36.000000000000000;A0;C00;  - Next request to be sent at 37.000000
37.000000000000000;A0;F00; RequestInformationToAp() (request #36)
37.000000000000000;A0;F00; InportReceivingInformationFromAp()
37.000000000000000;A0;C03;  - Action (5):
37.000000000000000;A0;C03;    · channel = 5
37.000000000000000;A0;C03;    · cca = -82.000000 dBm
37.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
37.000000000000000;A0;C03;    · dcb_policy = 4
37.000000000000000;A0;C03;  - Performance:
37.000000000000000;A0;C03;    · Average throughput = 213.50 Mbps
37.000000000000000;A0;F00; ComputeNewConfiguration()
37.000000000000000;A0;F00; SendNewConfigurationToAp()
37.000000000000000;A0;C00;  - Next request to be sent at 38.000000
38.000000000000000;A0;F00; RequestInformationToAp() (request #37)
38.000000000000000;A0;F00; InportReceivingInformationFromAp()
38.000000000000000;A0;C03;  - Action (5):
38.000000000000000;A0;C03;    · channel = 5
38.000000000000000;A0;C03;    · cca = -82.000000 dBm
38.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
38.000000000000000;A0;C03;    · dcb_policy = 4
38.000000000000000;A0;C03;  - Performance:
38.000000000000000;A0;C03;    · Average throughput = 213.50 Mbps
38.000000000000000;A0;F00; ComputeNewConfiguration()
38.000000000000000;A0;F00; SendNewConfigurationToAp()
38.000000000000000;A0;C00;  - Next request to be sent at 39.000000
39.000000000000000;A0;F00; RequestInformationToAp() (request #38)
39.000000000000000;A0;F00; InportReceivingInformationFromAp()
39.000000000000000;A0;C03;  - Action (2):
39.000000000000000;A0;C03;    · channel = 2
39.000000000000000;A0;C03;    · cca = -82.000000 dBm
39.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
39.000000000000000;A0;C03;    · dcb_policy = 4
39.000000000000000;A0;C03;  - Performance:
39.000000000000000;A0;C03;    · Average throughput = 28.42 Mbps
39.000000000000000;A0;F00; ComputeNewConfiguration()
39.000000000000000;A0;F00; SendNewConfigurationToAp()
39.000000000000000;A0;C00;  - Next request to be sent at 40.000000
40.000000000000000;A0;F00; RequestInformationToAp() (request #39)
40.000000000000000;A0;F00; InportReceivingInformationFromAp()
40.000000000000000;A0;C03;  - Action (0):
40.000000000000000;A0;C03;    · channel = 0
40.000000000000000;A0;C03;    · cca = -82.000000 dBm
40.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
40.000000000000000;A0;C03;    · dcb_policy = 4
40.000000000000000;A0;C03;  - Performance:
40.000000000000000;A0;C03;    · Average throughput = 78.34 Mbps
40.000000000000000;A0;F00; ComputeNewConfiguration()
40.000000000000000;A0;F00; SendNewConfigurationToAp()
40.000000000000000;A0;C00;  - Next request to be sent at 41.000000
41.000000000000000;A0;F00; RequestInformationToAp() (request #40)
41.000000000000000;A0;F00; InportReceivingInformationFromAp()
41.000000000000000;A0;C03;  - Action (6):
41.000000000000000;A0;C03;    · channel = 6
41.000000000000000;A0;C03;    · cca = -82.000000 dBm
41.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
41.000000000000000;A0;C03;    · dcb_policy = 4
41.000000000000000;A0;C03;  - Performance:
41.000000000000000;A0;C03;    · Average throughput = 110.59 Mbps
41.000000000000000;A0;F00; ComputeNewConfiguration()
41.000000000000000;A0;F00; SendNewConfigurationToAp()
41.000000000000000;A0;C00;  - Next request to be sent at 42.000000
42.000000000000000;A0;F00; RequestInformationToAp() (request #41)
42.000000000000000;A0;F00; InportReceivingInformationFromAp()
42.000000000000000;A0;C03;  - Action (4):
42.000000000000000;A0;C03;    · channel = 4
42.000000000000000;A0;C03;    · cca = -82.000000 dBm
42.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
42.000000000000000;A0;C03;    · dcb_policy = 4
42.000000000000000;A0;C03;  - Performance:
42.000000000000000;A0;C03;    · Average throughput = 110.66 Mbps
42.000000000000000;A0;F00; ComputeNewConfiguration()
42.000000000000000;A0;F00; SendNewConfigurationToAp()
42.000000000000000;A0;C00;  - Next request to be sent at 43.000000
43.000000000000000;A0;F00; RequestInformationToAp() (request #42)
43.000000000000000;A0;F00; InportReceivingInformationFromAp()
43.000000000000000;A0;C03;  - Action (5):
43.000000000000000;A0;C03;    · channel = 5
43.000000000000000;A0;C03;    · cca = -82.000000 dBm
43.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
43.000000000000000;A0;C03;    · dcb_policy = 4
